,wgt,total_return_1d,factor1,factor2,factor3,factor4,factor5,Intercept,country_AU,country_BE,country_CA,country_CH,country_CN,country_DE,country_DK,country_ES,country_FI,country_FR,country_GB,country_HK,country_IE,country_IT,country_JP,country_NL,country_NO,country_SE,country_US,sector_50,sector_51,sector_52,sector_53,sector_54,sector_55,sector_56,sector_57,sector_59,sector_60
68,0.000241346,-0.019317545,3,-0.731819104,0.013139136,2.285692342,-1.163876765,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
69,0.001477513,0.000926195,-0.258226941,0.049634082,0.442953263,-0.656361335,-0.055968351,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
70,0.0002339,0.014959611,-0.312179925,-0.363491121,-0.376686341,2.157902166,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
71,0.000169473,-0.01207283,2.934118084,-1.569947271,0.535823324,2.454350933,-1.207181598,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
72,0.000351429,-0.000685333,-0.373106068,-0.35252604,0.729678612,2.298694111,1.245358001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
73,0.00554092,0.002689721,0.400036692,-0.889422857,0.337084954,-3,-0.617703592,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
74,0.000336882,0.002325484,-0.378233871,0.176314257,0.991231052,2.102971669,1.048090592,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
75,0.000198297,-0.014465244,0.509248779,-1.35179687,0.160289948,2.548417533,-0.617703592,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
76,0.00060546,0.02052734,-0.74540419,0.686876766,-0.015276027,1.848648922,0.229907092,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
77,0.00273647,-0.003630426,0.330643467,-0.829874815,0.180588671,-3,1.553647859,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
78,0.000401452,-0.012244776,-0.119123026,0.557253858,1.229803013,1.255576659,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
79,0.00359153,0.009884091,-0.428228321,-0.551849585,0.871090977,-3,1.363605651,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
80,0.000422808,-0.01845308,-0.755957013,0.370455009,0.611216222,1.996470974,1.126652901,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
81,0.001151206,0.00910054,-0.357203345,0.235125787,1.358781441,0.502386223,-2.707867096,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
82,0.000617874,0.006400108,-1.162242347,-0.863157224,-0.845318552,0.934774843,-0.626618788,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
83,0.000111428,0.001573398,0.823693521,-1.330842754,-0.837039429,2.559368686,-0.617703592,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
84,0.000118975,-0.011796782,3,-1.176835305,0.499503974,2.624477906,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
85,0.000278099,0.020011103,0.412640963,0.127475507,0.921886718,2.402993917,-1.20986426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
86,0.000406113,-0.007594031,0.237535296,-0.882273377,1.318644086,1.977171521,-0.617703592,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
87,0.000272856,-0.014958786,-0.102233936,-0.59533734,1.241394295,2.359557706,-0.617703592,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
88,0.000278757,0.008016624,-0.953570145,-0.336461771,0.637150444,2.419296385,0.502302804,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
89,0.000436611,0.006648094,-1.025842777,0.187471429,-0.214908267,2.113721516,-0.793382502,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
90,0.000109338,0.014263099,0.683490884,-0.042693418,0.909949731,2.746525886,-0.617703592,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
91,0.000542786,0.004412436,0.063988546,0.243784787,0.832642746,1.654271816,0.365061586,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
92,0.000430465,0.007512936,1.238536407,0.572365638,-0.038814463,1.730906988,-0.827137287,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
93,0.002523487,0.005029032,-0.924870776,1.11230903,0.925229379,-2.073171935,-0.264505946,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
94,0.00080978,0.005502271,-0.469766794,0.098801278,0.465518133,1.401535491,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
95,0.000640837,0.020080367,-0.247726376,0.004644772,0.507972473,1.602907448,-0.935910712,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
96,0.001349865,0.027090181,0.30659015,1.034676616,1.055697388,-0.778587438,0.221510068,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
97,0.001259906,-0.006762044,-0.330852314,0.81899121,0.801680552,0.296247363,-1.212289997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
98,0.00166854,-0.003059054,1.384437111,-0.005802428,0.166764288,-1.013454945,-1.575597285,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
99,0.000500905,-0.00069902,-0.397748919,-0.145151948,1.069469661,2.010545495,-0.668976199,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
100,0.004036051,-0.015149176,0.499339054,-0.685249609,0.246918255,-3,-2.615587557,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
101,0.000352942,0.009610824,0.24358839,-0.890408192,0.714046904,2.118805364,-0.055661295,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
102,0.000282619,0.002573103,-0.267561503,-0.138894908,0.843785374,2.388380787,-0.060009575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
103,0.00020083,-0.005192486,1.166084138,-1.267990357,-0.005045958,2.207602076,-0.23919769,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
104,0.000394776,-0.004147745,0.265724497,-0.412611538,0.984515226,2.048531999,-0.617703592,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
105,0.000226368,-0.003090715,-1.027054507,-0.277751296,0.816380636,2.470698073,-0.233515286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
106,6.98E-05,-0.018166056,-0.179324091,-1.40701873,-0.640565934,2.807740721,-0.628208018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
107,0.000224876,-0.0032706,0.499339054,-0.649236795,-0.616778387,1.957824002,-1.622056642,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
108,0.000539782,0.025757534,0.425145944,0.667571509,0.308026678,0.542690018,1.446999383,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
109,0.003671371,0,0.712917944,-1.081284401,0.058791246,-3,-0.617703592,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
110,0.001707552,0.021360204,1.393912116,-1.436980198,0.308618952,-2.833586236,-0.617703592,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
111,0.000205655,-0.002282875,-0.095126866,0.115080861,0.164270638,2.534222284,-0.670805371,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
112,0.000494044,0.014141585,-0.546229855,1.320509875,-0.743906277,1.831645272,1.93008521,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
113,0.000280967,0.013734443,0.938870191,-0.695487798,-0.4458413,2.339576862,-1.348301113,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
114,0.00094709,0.007113833,-0.869402315,-0.224204305,0.02982321,1.183855411,0.284099232,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
115,0.000230404,0.016631724,-0.575510592,0.710604417,0.163760977,2.27819069,-0.3556287,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
116,0.000548191,0.02826626,-0.376156621,0.151392262,0.198560242,0.993860689,0.80340506,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
117,0.003788294,0.02912485,-1.401700967,1.233057292,-1.570953117,-3,0.345341112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
118,0.000726612,0.004552345,-0.120759351,-0.397286435,0.258934042,1.420965003,-0.617703592,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
119,0.000188322,-0.011126482,0.059102436,-0.917387115,1.22412176,2.476178315,-0.617703592,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
120,0.000260675,-0.000197669,-0.463786535,-1.171460754,-0.081034943,2.173239945,-0.108743023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
121,0.00034322,-0.011071442,0.515867303,-0.735475127,0.858561716,2.229741315,-0.617703592,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
122,0.000417167,0.01179498,0.499339054,-1.585825422,-1.718767377,1.796569237,0.183554264,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
